"secuencial";"nombre";"descripcion";"estaActivo";"fechaRegistro"
1;"Residencial";"Ascensor para particulares en residencias y Edificios";1;"2024-06-24 00:34:24"
2;"Montacoches";"Ascensor Montacoches Ctrols Uru";1;"2024-06-24 23:47:37"
