"secuencial";"secProvincia";"codigo";"nombre";"estaActivo"
176;16;"04";"ARAJUNO";1
177;17;"01";"DISTRITO METROPOLITANO DE QUITO";1
178;17;"02";"CAYAMBE";1
179;17;"03";"MEJIA";1
180;17;"04";"PEDRO MONCAYO";1
181;17;"05";"RUMINIAHUI";1
182;17;"07";"SAN MIGUEL DE LOS BANCOS";1
183;17;"08";"PEDRO VICENTE MALDONADO";1
184;17;"09";"PUERTO QUITO";1
185;18;"01";"AMBATO";1
186;18;"02";"BANIOS DE AGUA SANTA";1
187;18;"03";"CEVALLOS";1
188;18;"04";"MOCHA";1
189;18;"05";"PATATE";1
190;18;"06";"QUERO";1
191;18;"07";"SAN PEDRO DE PELILEO";1
192;18;"08";"SANTIAGO DE PILLARO";1
193;18;"09";"TISALEO";1
194;19;"01";"ZAMORA";1
195;19;"02";"CHINCHIPE";1
196;19;"03";"NANGARITZA";1
197;19;"04";"YACUAMBI";1
198;19;"05";"YANTZAZA";1
199;19;"06";"EL PANGUI";1
200;19;"07";"CENTINELA DEL CONDOR";1
201;19;"08";"PALANDA";1
202;19;"09";"PAQUISHA";1
203;20;"01";"SAN CRISTOBAL";1
204;20;"02";"ISABELA";1
205;20;"03";"SANTA CRUZ";1
206;21;"01";"LAGO AGRIO";1
207;21;"02";"GONZALO PIZARRO";1
208;21;"03";"PUTUMAYO";1
209;21;"04";"SHUSHUFINDI";1
210;21;"05";"SUCUMBIOS";1
211;21;"06";"CASCALES";1
212;21;"07";"CUYABENO";1
213;22;"01";"FRANCISCO DE ORELLANA";1
214;22;"02";"AGUARICO";1
215;22;"03";"LA JOYA DE LOS SACHAS";1
216;22;"04";"LORETO";1
217;23;"01";"SANTO DOMINGO";1
218;23;"02";"LA CONCORDIA";1
219;24;"01";"SANTA ELENA";1
220;24;"02";"LA LIBERTAD";1
221;24;"03";"SALINAS";1
222;8;"08";"LA CONCORDIA";1
